COA2011,AvPTAI2015,PTAL,PTAIHigh,PTAILow
E00018407,1.15608,1a,3.06812,0
E00018408,4.33939,1b,10.7717,2.22451
E00018409,3.41192,1b,4.23907,2.62686
E00018410,0.860031,1a,3.14401,0
E00018411,1.44289,1a,2.93212,0
E00018412,3.11702,1b,4.80336,0
E00018413,2.17225,1a,3.66364,0
E00018414,3.65172,1b,3.86676,3.44382
E00018415,4.08229,1b,8.20639,3.1093
E00018416,1.53197,1a,7.14958,0
E00018417,5.69932,2,8.22831,0.890922
E00018418,1.99364,1a,3.39247,0
E00018419,10.1066,3,10.5641,9.68236
E00018420,1.96704,1a,3.31203,0
E00018421,4.09378,1b,12.0129,0
E00018422,5.37081,2,9.98936,0.752259
E00018423,11.4214,3,12.6729,10.7773
E00018424,3.76493,1b,3.80135,3.72852
E00018425,3.97844,1b,5.14455,3.37518
E00018426,5.04081,2,10.525,1.98196
E00018427,12.1962,3,13.5752,10.915
E00018428,3.58093,1b,4.79747,0
E00018429,13.0913,3,14.0855,11.8743
E00018430,11.8998,3,13.006,10.9881
E00018431,4.19439,1b,5.22453,3.20669
E00018432,10.9752,3,12.2583,9.50189
E00018433,11.4196,3,12.3714,10.8897
E00018434,6.06443,2,12.0344,2.19304
E00018435,4.25519,1b,4.39894,4.11143
E00018436,2.40864,1a,3.58471,0
E00018437,12.0499,3,12.7508,11.587
E00018438,9.28944,2,11.1346,3.39667
E00018439,3.02229,1b,5.06384,0
E00018440,12.5115,3,12.5807,12.3744
E00018441,4.30191,1b,4.44866,4.19277
E00018442,7.05703,2,12.4504,3.67129
E00018443,14.4554,3,15.844,13.6451
E00018444,15.8495,4,15.8495,15.8495
E00018445,8.38456,2,13.0695,3.69962
E00018446,13.4284,3,14.0739,12.8067
E00018447,4.27441,1b,4.60466,4.10389
E00018448,6.60148,2,9.22184,2.05585
E00018449,3.95912,1b,6.16896,2.09367
E00018450,2.0673,1a,4.59242,0
E00018451,6.27408,2,7.37813,5.3599
E00018452,4.74922,1b,6.56996,4.04157
E00018453,0,0,0,0
E00018454,3.30036,1b,4.14884,2.45188
E00018455,2.81935,1b,3.73991,1.96109
E00018456,5.18371,2,6.13246,3.15125
E00018457,0,0,0,0
E00018458,2.59242,1b,3.81478,0
E00018459,3.80881,1b,4.09093,3.38766
E00018460,1.90585,1a,3.14374,0
E00018462,4.10898,1b,6.20302,3.31498
E00018463,3.72506,1b,5.04269,2.48006
E00018464,4.16757,1b,5.44541,2.8211
E00018465,3.69143,1b,4.26225,3.26946
E00018466,3.28918,1b,4.08468,2.84626
E00018467,2.97917,1b,3.25577,2.72812
